development-aarch64-linux	aarch64-linux	base,development,agent-tools,security	Portable headless arm64 Linux development environment with agent tooling
development-x86_64-linux	x86_64-linux	base,development,agent-tools,security,containers	Portable headless x86_64 Linux development environment with agent tooling
headless-aarch64-linux	aarch64-linux	base,development,agent-tools,security	Shape for a headless arm64 Linux machine with agent tooling
macbook	aarch64-darwin	base,development,agent-tools,security,desktop,mobile,media,containers	Primary Apple Silicon Mac with the full development, agent, and desktop stack
platform-01	x86_64-linux	base,development,agent-tools,security,containers,manifold-node	The VPS serving the public platform, pending decommission
workstation-x86_64-linux	x86_64-linux	base,development,agent-tools,security,desktop,mobile,media,containers	Shape for an x86_64 Linux workstation with the desktop, mobile, media, and container stack
